meantemp,humidity,wind_speed,meanpressure,year,month,day,day_of_year,temp_humidity_interaction,humidity_per_temp,wind_pressure_force,is_winter
-2.1095000139171907,1.4154388664959372,-1.4916987569862339,0.02532118882198832,2013,1,1,1,-2.9858683085721123,-0.6709862844373252,-0.037771585891173694,1
-2.463453918276338,1.8628283636624299,-0.8381959815109795,0.03716185656730587,2013,1,2,2,-4.588991831540512,-0.7561886632945326,-0.031148918840203182,1
-2.4952190122572873,1.5645686988847682,-0.47562620898779584,0.04197212783884118,2013,1,3,3,-3.9039415634399206,-0.6270291150757681,-0.01996304404713916,1
-2.2910148366654712,0.6300217492480944,-1.2212334024830525,0.03364665833041475,2013,1,4,4,-1.4433891749493175,-0.274998000512772,-0.04109042303503714,1
-2.6540444821620333,1.5546267100588458,-0.6803026934766898,0.029946449660003212,2013,1,5,5,-4.126048441653395,-0.585759800977572,-0.020372650363764285,1
-2.5179083651008223,1.3140305804715322,-1.1671403315824163,0.03827191916842964,2013,1,6,6,-3.30860859056756,-0.5218759417316337,-0.0446687004285364,1
-2.5179083651008223,1.0634924620582962,-0.1101324866861996,0.049372545179664884,2013,1,7,7,-2.677776566438253,-0.4223730698580884,-0.005437521174663231,1
-2.2650841477014314,0.1755308314916583,0.07470291002060783,0.04223642845815561,2013,1,8,8,-0.3975921038446064,-0.07749451896300383,0.0031551841147014386,1
-1.564955545672348,-0.5679879042755133,1.2495041602757389,0.03272160616281202,2013,1,9,9,0.8888758206707793,0.3629441969058984,0.04088578303133788,1
-1.97336389685598,0.0732703749964595,0.13109337003285373,0.02532118882198832,2013,1,10,10,-0.14458911272711228,-0.037129870680163636,0.0033194399759126744,1
-1.3315793449959872,-0.56585747809853,0.8265757101838916,0.027964195015140227,2013,1,11,11,0.7534841300475218,0.4249553207461646,0.023114524354360375,1
-1.564955545672348,0.7890935704628477,1.4092771303104366,0.02479258758335819,2013,1,12,12,-1.234896359150227,-0.5042306888217182,0.03493962668244519,1
-1.3153726643934618,0.8586874922443023,-0.47562620898779584,0.012370458475547625,2013,1,13,13,-1.129494054554728,-0.6528142507680641,-0.005883714268165665,1
-1.7237810155770936,1.6341626206662228,-1.356466079734643,0.022546032319179506,2013,1,14,14,-2.8169385018701463,-0.9480160682009895,-0.030582928073567987,1
-1.4677154620571977,0.66126799984385,-1.3757850336277275,0.02637839129924858,2013,1,15,15,-0.9705532679344552,-0.45054543771812977,-0.03629099596068206,1
-1.587644898515883,1.5446847212329242,-1.4916987569862339,0.030871501827605938,2013,1,16,16,-2.452410817480881,-0.972947069050253,-0.04605098090253802,1
-1.2246152530193215,1.1967151123256516,-0.34039353173620507,0.026246240989591677,2013,1,17,17,-1.4655155800727235,-0.9772251992020242,-0.00893405066524666,1
-1.587644898515883,1.872770352488353,0.4710025317733389,0.01884582364876797,2013,1,18,18,-2.9732942962199256,-1.1795976230045169,0.008876430651923577,1
-1.769159721264164,0.9481653916776008,-0.20150591726159875,0.05862306685569404,2013,1,19,19,-1.6774560200526714,-0.5359441206593185,-0.011812894859444655,1
-1.9344678634099197,0.8657889128342467,0.3660536200838803,0.05095834889555653,2013,1,20,20,-1.6748408283744625,-0.44756152574349584,0.018653488086715873,1
-1.946136673443738,0.9680493693294446,-1.0048611188805072,0.0549228581852825,2013,1,21,21,-1.8839563793561138,-0.49742361714638444,-0.0551898447281784,1
-2.1775680724477957,1.1271211905441978,-0.8155353707282806,0.059363108589776344,2013,1,22,22,-2.4543831183083933,-0.5176078676410221,-0.048412714771346434,1
-1.564955545672348,-0.036091502088683704,-0.6108588862393866,0.05214770168247369,2013,1,23,23,0.0564815963453307,0.0230624651371992,-0.03185488696969967,1
-1.587644898515883,-0.006265535610917532,-0.1393719844703272,0.05214770168247369,2013,1,24,24,0.009947445649142817,0.00394645873353788,-0.007267928669052979,1
-1.8031937505294666,0.37153003977412125,-0.27460466172191794,0.0535352799338781,2013,1,25,25,-0.6699406458546596,-0.20604114232120235,-0.014701037436430777,1
-1.746470368420629,0.20251622973344652,-0.0004843699957204909,0.0475224408444588,2013,1,26,26,-0.3536885943537291,-0.11595810211060636,-2.301844446845779e-05,1
-1.7205396794565888,0.28631299269478916,-0.2730382600549111,0.039064821026375464,2013,1,27,27,-0.4926128646753492,-0.1664097958398591,-0.010666190762398064,1
-1.4515087814546725,-0.2846412227367346,-0.6803026934766898,0.037346867000826914,2013,1,28,28,0.41315923436636565,0.19610159262515606,-0.025407174213578253,1
-1.5479385310396967,0.2820521403408227,-0.7817272014153829,0.030640238785705414,2013,1,29,29,-0.43659937579577546,-0.18221263752492298,-0.023952308116648564,1
-1.4677154620571977,0.576050952764518,-1.2598713102692214,0.037479017310483816,2013,1,30,30,-0.8454788903052636,-0.39248402874858884,-0.04721873864656208,1
-1.2654560881376848,0.2880173336363756,-0.8425819061785987,0.040492044370676564,2013,1,31,31,-0.3644732883393343,-0.227601425565463,-0.03411786393091306,1
