meantemp,humidity,wind_speed,meanpressure,year,month,day,day_of_year
-2.1095000139171907,1.4154388664959372,-1.4916987569862339,0.02532118882198832,2013,1,1,1
-2.463453918276338,1.8628283636624299,-0.8381959815109795,0.03716185656730587,2013,1,2,2
-2.4952190122572873,1.5645686988847682,-0.47562620898779584,0.04197212783884118,2013,1,3,3
-2.2910148366654712,0.6300217492480944,-1.2212334024830525,0.03364665833041475,2013,1,4,4
-2.6540444821620333,1.5546267100588458,-0.6803026934766898,0.029946449660003212,2013,1,5,5
-2.5179083651008223,1.3140305804715322,-1.1671403315824163,0.03827191916842964,2013,1,6,6
-2.5179083651008223,1.0634924620582962,-0.1101324866861996,0.049372545179664884,2013,1,7,7
-2.2650841477014314,0.1755308314916583,0.07470291002060783,0.04223642845815561,2013,1,8,8
-1.564955545672348,-0.5679879042755133,1.2495041602757389,0.03272160616281202,2013,1,9,9
-1.97336389685598,0.0732703749964595,0.13109337003285373,0.02532118882198832,2013,1,10,10
-1.3315793449959872,-0.56585747809853,0.8265757101838916,0.027964195015140227,2013,1,11,11
-1.564955545672348,0.7890935704628477,1.4092771303104366,0.02479258758335819,2013,1,12,12
-1.3153726643934618,0.8586874922443023,-0.47562620898779584,0.012370458475547625,2013,1,13,13
-1.7237810155770936,1.6341626206662228,-1.356466079734643,0.022546032319179506,2013,1,14,14
-1.4677154620571977,0.66126799984385,-1.3757850336277275,0.02637839129924858,2013,1,15,15
-1.587644898515883,1.5446847212329242,-1.4916987569862339,0.030871501827605938,2013,1,16,16
-1.2246152530193215,1.1967151123256516,-0.34039353173620507,0.026246240989591677,2013,1,17,17
-1.587644898515883,1.872770352488353,0.4710025317733389,0.01884582364876797,2013,1,18,18
-1.769159721264164,0.9481653916776008,-0.20150591726159875,0.05862306685569404,2013,1,19,19
-1.9344678634099197,0.8657889128342467,0.3660536200838803,0.05095834889555653,2013,1,20,20
-1.946136673443738,0.9680493693294446,-1.0048611188805072,0.0549228581852825,2013,1,21,21
-2.1775680724477957,1.1271211905441978,-0.8155353707282806,0.059363108589776344,2013,1,22,22
-1.564955545672348,-0.036091502088683704,-0.6108588862393866,0.05214770168247369,2013,1,23,23
-1.587644898515883,-0.006265535610917532,-0.1393719844703272,0.05214770168247369,2013,1,24,24
-1.8031937505294666,0.37153003977412125,-0.27460466172191794,0.0535352799338781,2013,1,25,25
-1.746470368420629,0.20251622973344652,-0.0004843699957204909,0.0475224408444588,2013,1,26,26
